0.0	0.20952	speech
0.02993	11.44399	music
0.95782	28.25578	speech
13.639	22.78821	music
43.04218	48.22041	music
49.04853	52.55057	music
73.72245	79.39955	music
87.1619	91.08299	music
101.15011	124.50703	music
115.11837	119.52834	speech
128.7873	133.95556	music
136.08073	148.37279	music
149.34059	228.22132	music
239.4458	251.75782	music
279.55465	285.73061	music
318.85533	328.57324	music
355.42222	361.50839	music
409.42948	641.13288	music
649.29433	798.53515	music
808.70204	992.03537	music
1000.90522	1010.22404	music
1012.71837	1203.23537	music
1209.96009	1685.96825	music
1691.06667	1919.64717	music
1922.01179	2129.0712	music
2135.07755	2220.42358	music
2221.09206	2235.639	music
2237.14558	2375.26168	music
2390.24762	2574.13968	music
2583.26893	2755.0585	music
2764.01814	2988.35828	music
2992.10975	3015.56644	music
3018.85896	3024.2068	music
3025.7932	3254.43356	music
3255.55102	3269.00045	music
3272.38277	3414.24036	music
3415.40771	3489.21995	music
3494.22857	3602.95147	music
3603.59002	3640.2068	music
3648.68753	3653.64626	music
3664.3619	3808.92336	music
3810.4	3854.08073	music
3858.16145	3875.08299	music
3880.43084	3983.96553	music
3984.64399	4077.85215	music
4079.36871	4086.26304	music
4090.20408	4128.28753	music
4130.83175	4142.97415	music
4145.37868	4149.82857	music
4150.8263	4182.75374	music
4184.33016	4192.35193	music
4193.31973	4216.09796	music
4217.31519	4236.83084	music
4239.18549	4259.73878	music
4266.11429	4406.66485	music
4417.47029	4555.72608	music
4556.38458	4579.42222	music
4580.97868	4679.30522	music
4694.72018	5089.81224	music
4727.99456	4729.9102	speech
5100.38821	5105.15737	music
5124.39365	5127.87574	music
5144.19864	5149.96553	music
5162.35737	5169.30159	music
5176.71474	5178.40091	speech
5184.24762	5188.17868	speech
5190.55329	5195.64172	speech
5197.25805	5430.05896	music
5440.2458	5794.54059	music
5548.56961	5549.99637	speech
5795.91746	5799.25986	speech
5797.12472	5803.03129	music
5809.13741	5821.27982	music
5837.91202	6259.84308	music
5857.18821	5867.30522	speech
5916.74286	5918.16961	speech
6262.6966	6579.9356	music
6331.12109	6332.73741	speech
6352.17324	6358.76825	speech
6507.42041	6510.35374	speech
6583.3678	6596.37823	speech
6601.97551	6623.19728	speech
6607.98186	6614.89615	music
6627.46757	7008.91066	music
6644.01995	6646.7737	speech
7016.41361	7029.83311	speech
7026.92971	7380.13696	music
7370.63855	7379.52834	speech
7382.80091	7390.97234	music
7383.96825	7396.15057	speech
7399.37324	7402.01723	speech
7405.83855	7414.15964	speech
7416.32472	7669.84853	music
7673.62993	7695.88934	speech
7677.09206	7685.42313	music
7691.24989	7696.1288	music
7697.16644	7709.06939	speech
7697.24626	7706.71474	music
7713.15011	7719.14649	speech
7716.42268	7725.02313	music
7731.1093	8077.70159	music
7899.14739	7906.38095	speech
8078.78912	8086.33197	music
8087.12018	8092.94694	music
8095.45125	8111.50476	music
8121.58186	8127.15918	music
8128.4263	8495.45215	music
8369.43855	8373.33968	speech
8375.78413	8377.66984	speech
8379.08662	8381.24172	speech
8503.5737	8514.54875	speech
8516.93333	8522.44082	speech
8525.60363	8539.22268	speech
8533.91474	8537.45669	music
8548.03265	8558.77823	speech
8550.89615	8557.02222	music
8562.16054	8572.04807	speech
8565.16372	8570.68118	music
8581.78594	8868.49433	music
8869.10295	8890.85351	music
8897.48844	8900.12245	speech
8911.04762	9103.00136	music
9100.79637	9121.22993	speech
9124.64218	9131.00771	speech
9130.81814	9376.89887	music
9384.56145	9397.27256	speech
9395.94558	9400.92426	music
9398.6195	9405.3941	speech
9403.35873	9406.93061	music
9408.078	9415.7805	music
9419.01315	9428.85079	music
9431.33515	9473.57914	music
9474.45714	9561.49932	music
9563.39501	9731.27347	music
9617.16281	9624.97506	speech
9755.30884	9762.64218	music
9763.52018	9767.77052	music
9776.97959	9782.11791	music
9795.03855	9811.60091	music
9817.278	9821.64807	music
9822.96508	9875.38594	music
9877.77052	9896.4381	music
9898.40363	9903.36236	speech
9903.85125	9910.40635	speech
9914.61678	10266.99592	music
9963.6254	9966.0898	speech
10001.01043	10002.54694	speech
10125.63719	10128.51066	speech
10223.80408	10226.81723	speech
10267.87392	10284.40635	speech
10268.78186	10274.26939	music
10275.13741	10278.73923	music
10282.30113	10291.25079	music
10286.50159	10293.85488	speech
10324.73469	10329.3542	music
10340.99773	10344.42993	music
10349.64807	10371.66803	music
10357.91927	10359.36599	speech
10360.48345	10375.66893	speech
10384.72834	10395.25442	speech
10385.97551	10390.6449	music
10395.67347	10400.62222	speech
10407.7161	10544.03628	music
10552.90612	10560.69841	speech
10553.9737	10557.92472	music
10565.8966	10569.72789	music
10572.17234	10576.82177	speech
10595.75873	10604.75828	speech
10597.72426	10614.68571	music
10608.21043	10610.78458	speech
10614.21678	10624.11429	speech
10617.70884	10623.11655	music
10626.33923	10822.25397	music
10681.58367	10683.16009	speech
10752.37279	10754.39819	speech
10832.59048	10875.22358	music
10889.87029	10907.72971	music
10915.51202	11030.361	music
11038.48254	11201.82132	music
11202.839	11329.94014	music
11334.97868	11409.26984	music
11419.06757	11423.25805	music
11425.07392	11428.81542	music
11428.56599	11449.33878	speech
11434.73197	11450.49615	music
