1277.00000	1702.85250	2030789
1768.57814	2025.03701	4202401
2072.29074	2377.29207	210
2413.00000	2648.35663	5675
2751.00000	3114.45021	4732
3195.00000	3406.13458	3540
3436.63472	3691.80485	812195
3726.00000	4023.86967	3640330
4154.89137	4276.46233	29830666
4276.46233	4399.00000	17902621
4399.00000	4554.82974	8378105
4554.82974	4698.73882	196666
4740.83759	4883.02836	642738
4899.00000	5119.29699	1038827
5119.29699	5257.19196	896798
5257.19196	5326.78381	29583
5326.78381	5523.53115	1861329
5568.00000	5807.05351	5955
5831.96912	5992.20221	221346
5992.20221	6103.89284	146889
6158.01984	6413.18996	111
